url,title,tags
https://www.odesk.com/o/jobs/job/_~01f38d2256a0d2e92b/,Outbound Telesales,telemarketing
https://www.odesk.com/o/jobs/job/_~01239b409786cfce15/,Need CRM integrated with API's,api-development;api-documentation;javascript
https://www.odesk.com/o/jobs/job/_~01ca2721eed36d2897/,Administrative assistant,virtual-assistant
https://www.odesk.com/o/jobs/job/_~01effc563d96c3126f/,Assistant Manager. USA based only. Representative,customer-support;data-entry;email-handling;email-marketing;phone-support
https://www.odesk.com/o/jobs/job/_~01014ab03a40ba4e80/,Basic logo design,graphic-design;logo-design
https://www.odesk.com/o/jobs/job/_~01bea879c3d25b1ef6/,Mobile App CRM (BiznessApps),android-app-development;ipad-app-development;iphone-app-development
https://www.odesk.com/o/jobs/job/_~011f28065a613a9e16/,Customer Service Representatives,customer-service;customer-support;email-handling;telephone-skills;virtual-assistant
https://www.odesk.com/o/jobs/job/_~013cdeedfe042fd86a/,English Phone Skills Needed- Hiring Assistant for Real Estate Company,
https://www.odesk.com/o/jobs/job/_~0120adbfb01c93dcf8/,Need Business Partners for a big Cloud Based Telephony Company,marketing-strategy;sales
https://www.odesk.com/o/jobs/job/_~018a87b6acb0f744cf/,Salesforce Specialist Needed for Implementation Process,crm;data-entry;salesforce-apex;salesforce-app-development;salesforce.com
https://www.odesk.com/o/jobs/job/_~01716484f3b03c0c79/,Data Import,data-entry;microsoft-excel
https://www.odesk.com/o/jobs/job/_~01f633243f9e3ac041/,Website Lead Form Integration with CRM,asp.net;html5;xml;xml-web-services
https://www.odesk.com/o/jobs/job/_~011ba9e7c6fd9fd22a/,Build a fully developed Lead Capture Sales Web page,google-analytics;graphic-design;landing-pages;web-design;website-development
https://www.odesk.com/o/jobs/job/_~01c2823cef6651688e/,Technical Video Training; HCM & SRM,sap;sap-erp;sap-erp-hcm
https://www.odesk.com/o/jobs/job/_~01e0be4d2cd64704b6/,Retail Pension Agent,call-handling;customer-service;data-entry;lead-generation;telephone-skills
https://www.odesk.com/o/jobs/job/_~015ee5c5644170fb1d/,Administrative and marketing support,administrative-support;email-handling;english;virtual-assistant
https://www.odesk.com/o/jobs/job/_~01a67126667b9fb1d7/,Writer wanted for multi-channel demand generation blog and ebooks,article-writing;blog-writing;business-writing;ebook-writing;internet-research;seo-keyword-research;wordpress
https://www.odesk.com/o/jobs/job/_~0104df5df37d537182/,Angular j.s. CRM with C# asp.net web api - Support,angularjs;c#
https://www.odesk.com/o/jobs/job/_~018b01aa89d2c127ac/,Need Salesforce CRM Developer,crm;salesforce-apex;salesforce.com
https://www.odesk.com/o/jobs/job/_~01ee53185d3bf2b842/,VTiger 6 additions and modifications,javascript;php;vtiger;vtiger-development
https://www.odesk.com/o/jobs/job/_~015464e4d07b2879ea/,Modular PHP developers required,javascript;php
https://www.odesk.com/o/jobs/job/_~01483c8bba30c27c86/,Microsoft Dynamics AX Functional Analysis and Training,axapta;business-analysis;microsoft-dynamics;microsoft-dynamics-crm;microsoft-dynamics-erp
https://www.odesk.com/o/jobs/job/_~0190efb22e438f19c4/,Zoho CRM developer to adapt it to a concierge service company,crm;zoho-creator;zoho-crm
https://www.odesk.com/o/jobs/job/_~013688e0b3ad1bde18/,NetSuite CRM PHP Developer,netsuite-development;php
